ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min)
20677,Avenida Floral Puno,"-15.8268687,-70.0141471",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-09-09,16:58:00,2.17,7.97
20678,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-06-20,05:35:00,3.42,8.63
20679,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-07-20,09:36:00,8.13,28.18
20680,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-11,03:20:00,3.75,12.91
20681,Salcedo Puno,"-15.8687992,-69.9986595",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-08-26,02:37:00,6.14,18.21
20682,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-11-20,12:24:00,0.8,2.71
20683,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-06-18,02:40:00,3.49,12.03
20684,Puerto Lacustre Puno,"-15.8491,-70.0185",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-10-17,20:26:00,0.8,3.05
20685,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-10-08,09:53:00,5.29,18.97
20686,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-09-18,06:18:00,4.3,13.69
20687,Avenida El Sol Puno,"-15.8458219,-70.0202123",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-06,10:19:00,0.85,3.28
20688,Jirón Lima Puno,"-15.8387563,-70.0281599",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-06-15,18:11:00,1.51,5.64
20689,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-20,09:33:00,0.8,2.58
20690,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-10-09,10:30:00,0.8,3.11
20691,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-20,07:54:00,1.56,5.59
20692,Avenida Floral Puno,"-15.8268687,-70.0141471",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-14,05:42:00,2.64,11.11
20693,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Urbanización Bellavista Puno,"-15.84,-70.028",2024-06-26,06:50:00,0.8,3.08
20694,Av. Costanera Puno,"-15.8399095,-70.0176539",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-18,12:37:00,2.26,7.97
20695,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-24,07:17:00,6.05,18.37
20696,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-11-26,19:47:00,5.87,18.93
20697,Jirón Lima Puno,"-15.8387563,-70.0281599",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-06-02,07:28:00,1.14,4.94
20698,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-08-11,13:50:00,0.8,2.53
20699,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Terminal Terrestre Puno,"-15.848,-70.0146",2024-08-24,23:39:00,0.8,2.93
20700,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-26,14:20:00,1.04,3.1
20701,Municipalidad Provincial de Puno,"-15.84,-70.025",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-01,04:32:00,3.87,13.74
20702,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-08-16,15:37:00,2.46,8.41
20703,Hospital ESSALUD Puno,"-15.84,-70.0213",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-11-13,06:51:00,0.8,3.1
20704,Jayllihuaya Puno,"-15.8787471,-69.9751057",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-06-22,01:04:00,8.77,26.42
20705,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-11,04:42:00,0.8,3.07
20706,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Urbanización Alto Puno,"-15.8282,-70.0481",2024-09-30,02:30:00,4.58,16.49
20707,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-02,02:26:00,7.73,21.18
20708,Senati Puno,"-15.8699536,-69.9988485",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-07-17,23:21:00,5.99,21.8
20709,Terminal Terrestre Puno,"-15.848,-70.0146",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-07-06,15:09:00,2.32,7.78
20710,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-06-03,17:35:00,5.93,16.99
20711,Colegio Don Bosco Puno,"-15.8282,-70.0481",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-10,10:03:00,6.42,18.73
20712,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Terminal Terrestre Puno,"-15.848,-70.0146",2024-11-27,00:11:00,2.02,8.12
20713,Los Incas Puno,"-15.84,-70.028",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-06-02,06:25:00,2.92,9.4
20714,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-12,13:13:00,3.8,12.41
20715,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Real Plaza Puno,"-15.8426,-70.0141",2024-11-23,10:49:00,2.86,10.39
20716,Jirón Lima Puno,"-15.8387563,-70.0281599",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-07-13,03:54:00,1.58,5.42
20717,Terminal Terrestre Puno,"-15.848,-70.0146",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-10-31,09:31:00,1.96,7.49
20718,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-07-14,17:49:00,5.16,15.7
20719,Jirón Lima Puno,"-15.8387563,-70.0281599",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-12,03:31:00,0.8,2.6
20720,Avenida Floral Puno,"-15.8268687,-70.0141471",Real Plaza Puno,"-15.8426,-70.0141",2024-07-07,13:23:00,2.28,8.45
20721,Catedral Basílica de Puno,"-15.8409556,-70.029004",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-08-09,20:13:00,0.8,3.16
20722,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-08-21,19:14:00,0.83,2.85
20723,Jayllihuaya Puno,"-15.8787471,-69.9751057",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-22,20:26:00,7.83,20.72
20724,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-08-27,09:52:00,0.8,2.65
20725,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Urbanización Alto Puno,"-15.8282,-70.0481",2024-11-29,23:36:00,3.86,10.81
20726,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-11-22,05:12:00,2.14,6.6
20727,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-10-16,18:48:00,0.8,3.14
20728,Avenida La Torre Puno,"-15.8336052,-70.0276202",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-08-21,20:00:00,3.42,10.87
20729,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-07-16,20:58:00,2.65,10.53
20730,Jayllihuaya Puno,"-15.8787471,-69.9751057",Urbanización Alto Puno,"-15.8282,-70.0481",2024-11-19,01:49:00,11.59,34.35
20731,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-09-12,09:15:00,0.84,3.32
20732,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-07-27,14:49:00,0.8,4.03
20733,Salcedo Puno,"-15.8687992,-69.9986595",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-19,23:13:00,2.52,9.47
20734,Real Plaza Puno,"-15.8426,-70.0141",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-11-11,04:52:00,5.22,17.68
20735,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Terminal Terrestre Puno,"-15.848,-70.0146",2024-10-03,12:43:00,2.34,9.11
20736,Parque Pino Puno,"-15.8378073,-70.0280672",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-08-22,02:46:00,2.11,8.56
20737,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-03,08:40:00,2.65,8.35
20738,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-08-06,20:33:00,6.23,16.99
20739,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-08-25,22:27:00,5.88,17.11
20740,Terminal Terrestre Puno,"-15.848,-70.0146",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-06-28,10:47:00,4.74,14.03
20741,Isla Esteves Puno,"-15.8275387,-69.9925844",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-07-20,13:19:00,6.13,19.45
20742,Urbanización Huajsapata Puno,"-15.856,-70.0235",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-08-16,21:19:00,1.59,5.08
20743,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-10-01,20:07:00,0.8,3.26
20744,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-23,08:34:00,0.8,2.66
20745,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-06-19,03:08:00,3.16,9.98
20746,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-11-18,04:29:00,6.15,16.88
20747,Avenida Floral Puno,"-15.8268687,-70.0141471",Real Plaza Puno,"-15.8426,-70.0141",2024-10-06,04:41:00,2.25,8.38
20748,Puerto Lacustre Puno,"-15.8491,-70.0185",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-06,17:56:00,1.24,3.58
20749,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-07-19,15:29:00,1.92,7.33
20750,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-07-13,14:43:00,0.97,3.94
20751,Senati Puno,"-15.8699536,-69.9988485",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-07-02,22:31:00,6.35,18.03
20752,Senati Puno,"-15.8699536,-69.9988485",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-10-23,05:49:00,2.55,8.95
20753,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-23,08:26:00,8.6,26.56
20754,Municipalidad Provincial de Puno,"-15.84,-70.025",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-20,22:30:00,6.94,19.04
20755,Jayllihuaya Puno,"-15.8787471,-69.9751057",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-08-13,08:01:00,8.53,25.55
20756,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-07-14,00:35:00,1.92,8.33
20757,Puerto Lacustre Puno,"-15.8491,-70.0185",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-13,08:29:00,1.17,4.15
20758,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-09-05,19:45:00,1.52,4.83
20759,Hospital ESSALUD Puno,"-15.84,-70.0213",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-08-31,02:10:00,0.9,3.07
20760,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Parque del Niño Puno,"-15.841,-70.024",2024-11-07,09:11:00,0.8,3.2
20761,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-11-12,05:06:00,2.95,10.91
20762,Avenida La Torre Puno,"-15.8336052,-70.0276202",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-22,21:11:00,1.96,7.09
20763,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-06-01,17:23:00,3.48,10.03
20764,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-07-23,06:33:00,4.31,13.16
20765,Terminal Terrestre Puno,"-15.848,-70.0146",Los Incas Puno,"-15.84,-70.028",2024-11-05,13:09:00,2.29,8.29
20766,Puerto Lacustre Puno,"-15.8491,-70.0185",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-11-10,20:39:00,2.03,6.53
20767,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-10-16,00:47:00,2.22,7.82
20768,Jayllihuaya Puno,"-15.8787471,-69.9751057",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-10-19,17:54:00,7.22,21.98
20769,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-10-28,04:08:00,1.88,6.09
20770,Urbanización Huajsapata Puno,"-15.856,-70.0235",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-09,06:35:00,6.95,19.42
20771,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-07,09:06:00,0.8,3.15
20772,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-09-21,08:06:00,4.42,12.2
20773,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-07-24,12:32:00,4.47,14.12
20774,Avenida Floral Puno,"-15.8268687,-70.0141471",Urbanización Bellavista Puno,"-15.84,-70.028",2024-08-01,03:54:00,2.73,9.67
20775,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-11,18:18:00,0.8,2.77
20776,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-08-23,08:54:00,2.26,8.25
20777,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-25,15:56:00,0.98,3.33
20778,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-08-04,23:53:00,1.16,4.35
20779,Hospital ESSALUD Puno,"-15.84,-70.0213",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-11-03,16:34:00,0.8,3.18
20780,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-10-11,08:08:00,0.99,3.44
20781,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-10-03,19:13:00,0.8,3.09
20782,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Terminal Terrestre Puno,"-15.848,-70.0146",2024-07-27,00:28:00,1.33,5.14
20783,Puerto Lacustre Puno,"-15.8491,-70.0185",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-17,00:05:00,1.62,5.44
20784,Urbanización Alto Puno,"-15.8282,-70.0481",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-08,17:51:00,4.63,12.89
20785,Municipalidad Provincial de Puno,"-15.84,-70.025",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-06-27,00:55:00,0.8,3.18
20786,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque del Niño Puno,"-15.841,-70.024",2024-07-09,05:39:00,8.21,26.59
20787,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-08-11,10:55:00,0.97,3.27
20788,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-08-11,22:06:00,6.66,22.53
20789,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-08-27,18:21:00,2.21,7.91
20790,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-10-29,20:18:00,0.8,2.56
20791,Colegio Don Bosco Puno,"-15.8282,-70.0481",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-11-01,08:05:00,4.42,16.48
20792,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Senati Puno,"-15.8699536,-69.9988485",2024-06-20,21:17:00,5.51,13.48
20793,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Terminal Terrestre Puno,"-15.848,-70.0146",2024-07-04,10:25:00,1.96,7.59
20794,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-09-19,05:33:00,1.51,5.53
20795,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Urbanización Bellavista Puno,"-15.84,-70.028",2024-06-16,07:01:00,1.69,7.01
20796,Jirón Lima Puno,"-15.8387563,-70.0281599",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-06-04,03:34:00,1.61,6.09
20797,Colegio Don Bosco Puno,"-15.8282,-70.0481",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-11-18,13:06:00,3.12,11.12
20798,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-04,22:31:00,1.46,4.4
20799,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-10-02,10:35:00,0.8,4.35
20800,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-25,02:45:00,0.8,3.39
20801,Los Incas Puno,"-15.84,-70.028",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-11-26,18:25:00,0.8,3.14
20802,Parque Pino Puno,"-15.8378073,-70.0280672",Real Plaza Puno,"-15.8426,-70.0141",2024-08-12,02:04:00,2.06,6.52
20803,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-10-21,13:44:00,0.8,2.73
20804,Puerto Lacustre Puno,"-15.8491,-70.0185",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-10-12,00:26:00,0.87,3.12
20805,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-09-04,00:18:00,5.29,14.71
20806,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-10-14,14:31:00,0.8,2.96
20807,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-20,21:16:00,6.38,17.17
20808,Avenida Floral Puno,"-15.8268687,-70.0141471",Urbanización Alto Puno,"-15.8282,-70.0481",2024-07-02,15:09:00,4.81,13.61
20809,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-27,21:26:00,0.8,3.35
20810,Municipalidad Provincial de Puno,"-15.84,-70.025",Urbanización Bellavista Puno,"-15.84,-70.028",2024-08-12,05:06:00,0.8,2.55
20811,Urbanización Alto Puno,"-15.8282,-70.0481",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-11-22,21:34:00,5.21,14.4
20812,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-07-14,14:37:00,4.53,15.9
20813,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-06-19,09:19:00,0.89,3.36
20814,Avenida El Sol Puno,"-15.8458219,-70.0202123",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-10-21,16:35:00,1.42,5.52
20815,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-03,12:35:00,4.01,13.97
20816,Real Plaza Puno,"-15.8426,-70.0141",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-09-20,15:59:00,1.54,5.23
20817,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-02,08:57:00,0.8,2.61
20818,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-06-18,04:15:00,0.96,4.1
20819,Parque Pino Puno,"-15.8378073,-70.0280672",Urbanización Bellavista Puno,"-15.84,-70.028",2024-09-08,19:18:00,0.8,4.88
20820,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-07-26,12:17:00,1.2,4.24
20821,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-11-13,11:44:00,1.15,4.51
20822,Parque del Niño Puno,"-15.841,-70.024",Terminal Terrestre Puno,"-15.848,-70.0146",2024-09-09,02:22:00,1.76,6.85
20823,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-01,02:56:00,6.07,21.36
20824,Jirón Lima Puno,"-15.8387563,-70.0281599",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-11-18,22:39:00,0.8,3.13
20825,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-08-13,03:40:00,0.8,3.38
20826,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-07-27,09:02:00,0.82,3.39
20827,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-06-29,17:34:00,3.02,9.09
20828,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-11-20,16:05:00,0.84,3.0
20829,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-09,21:57:00,1.92,7.24
20830,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-21,09:54:00,4.2,12.46
20831,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-30,14:52:00,1.1,3.44
20832,Jayllihuaya Puno,"-15.8787471,-69.9751057",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-02,09:26:00,7.33,18.74
20833,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-01,20:23:00,0.8,3.18
20834,Los Incas Puno,"-15.84,-70.028",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-13,20:20:00,1.15,3.83
