ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida
20963,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-15,04:16:00
20964,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Salcedo Puno,"-15.8687992,-69.9986595",2024-11-13,00:24:00
20965,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-09-14,18:15:00
20966,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-11-15,04:56:00
20967,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-13,15:09:00
20968,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-17,17:36:00
20969,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-27,08:44:00
20970,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-05,23:26:00
20971,Jr. Tarapacá Puno,"-15.83755,-70.029158",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-14,05:10:00
20972,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-09-05,04:43:00
20973,Ministerio de Cultura Puno,"-15.842631,-70.028915",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-10-11,15:24:00
20974,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-11,02:46:00
20975,Senati Puno,"-15.8699536,-69.9988485",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-10-30,01:06:00
20976,Colegio Adventista Puno,"-15.8366071,-70.0291852",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-15,04:49:00
20977,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-09-19,14:17:00
20978,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Parque del Niño Puno,"-15.858797,-70.012071",2024-06-24,14:56:00
20979,Jr. Lima Puno,"-15.838756,-70.02816",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-03,03:49:00
20980,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-10-09,15:42:00
20981,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-06-02,07:22:00
20982,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-12,14:40:00
20983,Jr. Lima Puno,"-15.838756,-70.02816",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-10-12,06:04:00
20984,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-28,18:06:00
20985,Jr. Lima Puno,"-15.838756,-70.02816",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-09-02,13:24:00
20986,Colegio Adventista Puno,"-15.8366071,-70.0291852",Parque del Periodista Puno,"-15.839012,-70.023311",2024-10-11,20:52:00
20987,Avenida Floral Puno,"-15.8268687,-70.0141471",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-10,20:20:00
20988,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-22,08:43:00
20989,Avenida Floral Puno,"-15.8268687,-70.0141471",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-08-15,18:51:00
20990,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-10,13:55:00
20991,Av. Costanera Puno,"-15.8399095,-70.0176539",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-09-04,22:11:00
20992,Parque Pino Puno,"-15.8378073,-70.0280672",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-08-14,09:09:00
20993,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-10-26,11:27:00
20994,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-08,17:30:00
20995,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-07-03,11:02:00
20996,Plaza Vea Puno,"-15.83636,-70.025604",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-24,18:14:00
20997,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-04,20:05:00
20998,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-30,12:41:00
20999,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-06,14:57:00
21000,Avenida La Torre Puno,"-15.8336052,-70.0276202",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-09-29,12:11:00
21001,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-12,19:00:00
21002,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-30,21:33:00
21003,Avenida Floral Puno,"-15.8268687,-70.0141471",Senati Puno,"-15.8699536,-69.9988485",2024-10-08,16:54:00
21004,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Salcedo Puno,"-15.8687992,-69.9986595",2024-11-15,06:06:00
21005,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-21,06:19:00
21006,Colegio Adventista Puno,"-15.8366071,-70.0291852",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-06-07,14:43:00
21007,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-22,02:17:00
21008,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-11-22,12:00:00
21009,Urbanización Bellavista Puno,"-15.832755,-70.022242",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-26,13:35:00
21010,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-09-29,23:00:00
21011,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-07-31,15:24:00
21012,Urbanización Alto Puno,"-15.814292,-70.031918",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-12,19:10:00
21013,Parque San Román Puno,"-15.841093,-70.029431",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-27,02:32:00
21014,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-10,07:50:00
21015,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-15,15:28:00
21016,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-11-12,00:54:00
21017,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-11-29,04:40:00
21018,Parque Pino Puno,"-15.8378073,-70.0280672",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-08-03,20:29:00
21019,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-06-20,13:50:00
21020,Parque del Niño Puno,"-15.858797,-70.012071",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-07,15:35:00
21021,Plaza Vea Puno,"-15.83636,-70.025604",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-10,07:52:00
21022,Colegio Adventista Puno,"-15.8366071,-70.0291852",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-06-25,20:47:00
21023,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-20,18:02:00
21024,Jr. Los Incas Puno,"-15.836837,-70.024882",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-11-15,23:00:00
21025,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-11-28,10:37:00
21026,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-08-15,05:32:00
21027,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-09-16,21:32:00
21028,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-09-06,14:28:00
21029,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-08-18,16:26:00
21030,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-15,21:08:00
21031,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-09,21:01:00
21032,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-09-15,02:46:00
21033,Jr. Tarapacá Puno,"-15.83755,-70.029158",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-09,00:46:00
21034,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-09-16,17:18:00
21035,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-07-13,16:35:00
21036,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-01,23:33:00
21037,Av. Costanera Puno,"-15.8399095,-70.0176539",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-21,15:11:00
21038,Parque San Román Puno,"-15.841093,-70.029431",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-09-08,23:07:00
21039,Parque San Román Puno,"-15.841093,-70.029431",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-05,20:37:00
21040,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Urbanización Alto Puno,"-15.814292,-70.031918",2024-07-11,13:42:00
21041,Plaza Vea Puno,"-15.83636,-70.025604",Parque del Periodista Puno,"-15.839012,-70.023311",2024-08-07,13:36:00
21042,Avenida Floral Puno,"-15.8268687,-70.0141471",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-10-23,08:36:00
21043,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-10-22,07:00:00
21044,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-06-06,00:19:00
21045,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-07-04,07:18:00
21046,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-23,14:41:00
21047,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-07-23,03:49:00
21048,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-17,02:27:00
21049,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-07-27,12:57:00
21050,Puerto Lacustre Puno,"-15.835401,-70.014945",Urbanización Alto Puno,"-15.814292,-70.031918",2024-11-23,02:39:00
21051,Colegio Don Bosco Puno,"-15.883085,-70.001176",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-06-13,21:20:00
21052,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-24,14:19:00
21053,Colegio Don Bosco Puno,"-15.883085,-70.001176",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-19,10:00:00
21054,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-09-17,18:00:00
21055,Jr. Lima Puno,"-15.838756,-70.02816",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-06-01,12:43:00
21056,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-10-06,17:30:00
21057,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-24,16:44:00
21058,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-13,16:20:00
21059,Colegio Don Bosco Puno,"-15.883085,-70.001176",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-01,20:21:00
21060,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-08-31,23:44:00
21061,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-13,12:09:00
21062,Puerto Lacustre Puno,"-15.835401,-70.014945",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-10-06,15:41:00
21063,Jr. Tarapacá Puno,"-15.83755,-70.029158",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-17,10:06:00
21064,Parque Pino Puno,"-15.8378073,-70.0280672",Parque del Niño Puno,"-15.858797,-70.012071",2024-09-11,13:07:00
21065,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-08-31,00:17:00
21066,Jayllihuaya Puno,"-15.8787471,-69.9751057",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-17,22:40:00
21067,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-13,12:18:00
21068,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-20,22:04:00
21069,Jr. Tarapacá Puno,"-15.83755,-70.029158",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-11-20,17:13:00
21070,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-11-25,16:31:00
21071,Ministerio de Cultura Puno,"-15.842631,-70.028915",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-11-04,19:08:00
21072,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-14,17:38:00
21073,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-07-21,09:40:00
21074,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-10-03,09:35:00
21075,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-06-04,16:19:00
21076,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-06-20,18:15:00
21077,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-24,21:17:00
21078,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-06-24,03:00:00
21079,Urbanización Bellavista Puno,"-15.832755,-70.022242",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-06-05,07:39:00
21080,Jr. Lima Puno,"-15.838756,-70.02816",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-08-15,03:01:00
21081,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-25,23:53:00
21082,Parque del Periodista Puno,"-15.839012,-70.023311",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-30,04:06:00
21083,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-07,07:54:00
21084,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-14,09:05:00
21085,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-14,13:39:00
21086,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-22,02:12:00
21087,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-10-02,17:11:00
21088,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-11-21,01:20:00
21089,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-07-23,10:29:00
21090,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-16,18:02:00
21091,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Plaza Vea Puno,"-15.83636,-70.025604",2024-09-02,18:20:00
21092,Senati Puno,"-15.8699536,-69.9988485",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-25,14:34:00
21093,Urbanización Alto Puno,"-15.814292,-70.031918",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-24,09:24:00
21094,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Parque San Román Puno,"-15.841093,-70.029431",2024-11-07,09:59:00
21095,Colegio Don Bosco Puno,"-15.883085,-70.001176",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-11,16:04:00
21096,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-07,07:14:00
21097,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-26,14:04:00
21098,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-09-04,04:36:00
21099,Jr. Lima Puno,"-15.838756,-70.02816",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-27,15:56:00
21100,Parque San Román Puno,"-15.841093,-70.029431",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-07-15,17:06:00
21101,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-12,07:11:00
21102,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-02,03:23:00
21103,Urbanización Alto Puno,"-15.814292,-70.031918",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-23,02:09:00
21104,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-08-10,19:49:00
21105,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-26,01:57:00
21106,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-06-13,13:30:00
21107,Salcedo Puno,"-15.8687992,-69.9986595",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-11-17,10:46:00
21108,Jr. Los Incas Puno,"-15.836837,-70.024882",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-08-22,17:27:00
21109,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-07,08:06:00
21110,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-11-28,08:25:00
21111,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-07-10,12:33:00
21112,Puerto Lacustre Puno,"-15.835401,-70.014945",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-08-18,15:25:00
21113,Puerto Lacustre Puno,"-15.835401,-70.014945",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-11-29,16:26:00
21114,Parque del Niño Puno,"-15.858797,-70.012071",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-31,08:01:00
21115,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-06-28,19:14:00
21116,Ministerio de Cultura Puno,"-15.842631,-70.028915",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-07-19,16:19:00
21117,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-08-29,04:58:00
21118,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-07-12,01:47:00
21119,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-21,19:14:00
